id,pleasantness,arousal
16, 6, 6
15, 9, 7
14, 1, 8
13, 6, 8
12, 2, 8
11, 7, 6
10, 6, 7
9, 3, 7
8, 1, 1
7, 3, 6
6, 3, 5
5, 9, 9
4, 9, 2
3, 3, 4
2, 8, 5
1, 6, 7
