id,pleasantness,arousal
16, 4, 4
15, 3, 3
14, 3, 6
13, 7, 5
12, 5, 2
11, 7, 5
10, 6, 4
9, 6, 5
8, 8, 4
7, 6, 2
6, 8, 3
5, 2, 3
4, 8, 3
3, 5, 2
2, 5, 4
1, 3, 4
