id,pleasantness,arousal
16, 6, 5
15, 4, 6
14, 5, 2
13, 5, 6
12, 4, 4
11, 7, 4
10, 4, 4
9, 4, 6
8, 5, 3
7, 6, 5
6, 5, 4
5, 2, 4
4, 7, 3
3, 4, 3
2, 6, 3
1, 8, 3
